"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 19 06:20:23 UTC 2026","Tue May 19 06:21:01 UTC 2026","37053","testcases_vpp","test_cases_vpp_program","TestVppProgramCreation","","","Verify the VPP program creation for Chariot operator with site enrollment and API validation",""
"passed","Tue May 19 06:19:21 UTC 2026","Tue May 19 06:20:01 UTC 2026","39950","testcases_vpp","test_cases_vpp_login","TestVPPLogin","","","Verify VPP logout functionality",""
"failed","Tue May 19 06:19:59 UTC 2026","Tue May 19 06:20:16 UTC 2026","16546","testcases_vpp","test_cases_vpp_event","TestVppEventCreation","","","TC-16796 - Verify the VPP dishcharge event creation for QCells",""
"passed","Tue May 19 06:19:14 UTC 2026","Tue May 19 06:19:16 UTC 2026","1788","testcases_vpp","test_cases_vpp_login","TestVPPLogin","","","Verify wrong email validation",""
"passed","Tue May 19 06:19:14 UTC 2026","Tue May 19 06:19:18 UTC 2026","4125","testcases_vpp","test_cases_vpp_login","TestVPPLogin","","","Verify wrong password validation",""
"passed","Tue May 19 06:19:59 UTC 2026","Tue May 19 06:20:23 UTC 2026","23598","testcases_vpp","test_cases_vpp_pagination","TestVPPPagination","","","Verify VPP resource pagination",""
"passed","Tue May 19 06:19:59 UTC 2026","Tue May 19 06:20:17 UTC 2026","17708","testcases_vpp","test_cases_vpp_event_summary","TestVppEventSummary","","","TC-16795 - Verify the VPP Program event summary search functionality for leap events",""
"failed","Tue May 19 06:20:00 UTC 2026","Tue May 19 06:20:45 UTC 2026","44975","testcases_vpp","test_cases_vpp_program","TestVppProgramCreation","","","TC-16605, TC-16613, TC-16668, TC-16793, TC-16657 - Verify the VPP program creation for QCells operator with site enrollment and API validation",""
"passed","Tue May 19 06:20:01 UTC 2026","Tue May 19 06:20:04 UTC 2026","3278","testcases_vpp","test_cases_vpp_login","TestVPPLogin","","","VPP Login Session",""
"passed","Tue May 19 06:20:30 UTC 2026","Tue May 19 06:20:38 UTC 2026","8552","testcases_vpp","test_cases_vpp_program","TestVppProgramCreation","","","Verify the VPP program creation with missing mandatory fields to validate error handling",""
"failed","Tue May 19 06:20:34 UTC 2026","Tue May 19 06:21:08 UTC 2026","33179","testcases_vpp","test_cases_vpp_program","TestVppProgramCreation","","","TC-16666 -Verify the VPP program details dashboard",""
"failed","Tue May 19 06:20:00 UTC 2026","Tue May 19 06:20:45 UTC 2026","44179","testcases_vpp","test_cases_vpp_event","TestVppEventCreation","","","Verify the VPP program creation for QCells operator with site enrollment and API validation",""
"failed","Tue May 19 06:20:29 UTC 2026","Tue May 19 06:21:04 UTC 2026","35140","testcases_vpp","test_cases_vpp_program","TestVppProgramCreation","","","Verify the VPP program creation for Leap operator with site enrollment and API validation",""
"failed","Tue May 19 06:20:00 UTC 2026","Tue May 19 06:20:14 UTC 2026","14284","testcases_vpp","test_cases_vpp_event","TestVppEventCreation","","","TC-16609 - Verify the VPP discharge event creation for QCells Operator with Energy Arbitrage",""
"passed","Tue May 19 06:19:14 UTC 2026","Tue May 19 06:19:15 UTC 2026","893","testcases_vpp","test_cases_vpp_login","TestVPPLogin","","","Verify empty email validation",""
"passed","Tue May 19 06:19:22 UTC 2026","Tue May 19 06:19:22 UTC 2026","293","testcases_vpp","test_cases_vpp_login","TestVPPLogin","","","Verify invalid email format validations",""
"passed","Tue May 19 06:19:19 UTC 2026","Tue May 19 06:19:20 UTC 2026","1032","testcases_vpp","test_cases_vpp_login","TestVPPLogin","","","Verify empty password validation",""
"passed","Tue May 19 06:20:13 UTC 2026","Tue May 19 06:20:23 UTC 2026","10316","testcases_vpp","test_cases_vpp_page","TestVPPPage","","","Verify VPP navigation and resource count",""
"passed","Tue May 19 06:20:22 UTC 2026","Tue May 19 06:20:29 UTC 2026","7517","testcases_vpp","test_cases_vpp_login","TestVPPLogin","","","Verify VPP login functionality",""
